
➜  code git:(master) ✗ python one_user_userlinks_to_src_urls.py
No _ovg3g  https://www.instagram.com/p/eqBbrizCmU/?taken-by=vanessahudgens
No _ovg3g  https://www.instagram.com/p/ebBlkWTCpC/?taken-by=vanessahudgens
No _ovg3g  https://www.instagram.com/p/ddMG7ITCqX/?taken-by=vanessahudgens
No _ovg3g  https://www.instagram.com/p/cZrEYKzCia/?taken-by=vanessahudgens
No _ovg3g  https://www.instagram.com/p/b_yPxEzClO/?taken-by=vanessahudgens
No _ovg3g  https://www.instagram.com/p/b_x4WRTCkf/?taken-by=vanessahudgens
No _ovg3g  https://www.instagram.com/p/b_xpV3TCj4/?taken-by=vanessahudgens
No _ovg3g  https://www.instagram.com/p/b9PtlCTCjB/?taken-by=vanessahudgens
No _ovg3g  https://www.instagram.com/p/b4GdkuzCrR/?taken-by=vanessahudgens
No _ovg3g  https://www.instagram.com/p/b1wVdDTCuj/?taken-by=vanessahudgens
Successfully found 1307 reactids among 1481 urls
getting src_urls
writing to file
Directory already exists:  vanessahudgens
20160310.14:53:1457650408  items written to  vanessahudgens_src_urls.txt
attempted username:  vanessahudgens
